Rank,Podcast Title,Publisher,Category,Image URL,Apple URL,Release Date,Summary
1,Good Hang with Amy Poehler - The Ringer,The Ringer,Comedy,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/6e/42/68/6e42680a-55ca-229f-ad2a-fe6abd054ebb/mza_15292708853522376658.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/good-hang-with-amy-poehler/id1795483480?uo=2,2025-04-15T03:00:00-07:00,"Come hang with Amy Poehler. Each week on her podcast, she'll welcome celebrities and fun people to her studio. They'll share stories about their careers, mutual friends, shared enthusiasms, and most importantly, what's been making them laugh. This podcast is not about trying to make you better or giving advice. Amy just wants to have a good time."
2,The Mel Robbins Podcast - Mel Robbins,Mel Robbins,Self-Improvement,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/5e/48/90/5e4890ce-82ca-1a78-e496-65d65f80855a/mza_12972697874253971245.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/the-mel-robbins-podcast/id1646101002?uo=2,2025-04-23T21:05:00-07:00,"You can change your life and Mel Robbins will show you how. The Mel Robbins Podcast is the #1 podcast on the globe for a reason: Mel’s simple, research-backed advice has changed millions of people’s lives, and in every episode, she’s giving you all her hard-fought secrets, science-backed tools, and deeply personal stories, so you can change yours too. If you’re a new listener, you’re in the right place. Every episode will empower you to create a better life and help you take a step toward the life you want. Want more? Follow along at @melrobbins

Subscribe to SiriusXM Podcasts+ to listen to new episodes of The Mel Robbins Podcast ad-free.
Start a free trial now on Apple Podcasts or by visiting siriusxm.com/podcastsplus."
3,The Daily - The New York Times,The New York Times,Daily News,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/c8/1a/71/c81a716b-b5d1-61b7-7d3e-0253a56e63d5/mza_15186388159121451528.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/the-daily/id1200361736?uo=2,2025-04-25T02:45:00-07:00,"This is what the news should sound like. The biggest stories of our time, told by the best journalists in the world. Hosted by Michael Barbaro. Twenty minutes a day, five days a week, ready by 6 a.m. 

Unlock full access to New York Times podcasts and explore everything from politics to pop culture. Subscribe today at nytimes.com/podcasts or on Apple Podcasts and Spotify. 
 
Listen to this podcast in New York Times Audio, our new iOS app for news subscribers. Download now at nytimes.com/audioapp"
4,The Joe Rogan Experience - Joe Rogan,Joe Rogan,Comedy,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/89/4f/94/894f94f2-3d6a-e34d-ec4f-1c6dbf239511/mza_10409584512842304695.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/the-joe-rogan-experience/id360084272?uo=2,2025-04-24T10:00:00-07:00,The official podcast of comedian Joe Rogan.
5,IMO with Michelle Obama and Craig Robinson - Higher Ground,Higher Ground,Self-Improvement,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/8c/ce/36/8cce3648-2e76-735c-f6d8-8e72febc8ed7/mza_13220543383965859061.jpeg/170x170bb.png,https://podcasts.apple.com/us/podcast/imo-with-michelle-obama-and-craig-robinson/id1532956108?uo=2,2025-04-16T03:00:00-07:00,"Michelle Obama and her big brother Craig Robinson bring their unique experiences and candid perspectives to a range of listeners’ personal dilemmas, from the everyday to the existential. Each week, they’re joined by special guests to tackle audience questions with practical advice, relatable anecdotes, and plenty of laughs. From dating and relationships to parenting and financial planning, IMO sees the iconic First Lady at her most relaxed and honest. This podcast will leave you laughing, reflecting, and feeling more prepared to tackle life’s challenges. Join the fun and submit your questions at imopod.com!"
6,Dateline NBC - NBC News,NBC News,True Crime,https://is1-ssl.mzstatic.com/image/thumb/Podcasts115/v4/8c/00/7a/8c007a42-e550-0214-d4cb-b59cd7edf194/mza_5305664083935674472.jpeg/170x170bb.png,https://podcasts.apple.com/us/podcast/dateline-nbc/id1464919521?uo=2,2025-04-23T21:00:00-07:00,"Current and classic episodes, featuring compelling true-crime mysteries, powerful documentaries and in-depth investigations.


Follow now to get the latest episodes of Dateline NBC completely free, or subscribe to Dateline Premium for ad-free listening and exclusive bonus content: DatelinePremium.com"
7,On Purpose with Jay Shetty - iHeartPodcasts,iHeartPodcasts,Mental Health,https://is1-ssl.mzstatic.com/image/thumb/Podcasts126/v4/f3/5e/2c/f35e2cb4-76ec-52f3-448e-546cabaaff3f/mza_15502965911695514461.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/on-purpose-with-jay-shetty/id1450994021?uo=2,2025-04-23T00:00:00-07:00,"I’m Jay Shetty host of On Purpose the worlds #1 Mental Health podcast and I’m so grateful you found us. I started this podcast 5 years ago to invite you into conversations and workshops that are designed to help make you happier, healthier and more healed. I believe that when you (yes you) feel seen, heard and understood you’re able to deal with relationship struggles, work challenges and life’s ups and downs with more ease and grace.

I interview experts, celebrities, thought leaders and athletes so that we can grow our mindset, build better habits and uncover a side of them we’ve never seen before. New episodes every Monday and Friday. Your support means the world to me and I don’t take it for granted — click the follow button and leave a review to help us spread the love with On Purpose. I can’t wait for you to listen to your first or 500th episode!"
8,Crime Junkie - audiochuck,audiochuck,True Crime,https://is1-ssl.mzstatic.com/image/thumb/Podcasts126/v4/8c/35/04/8c350430-2fbf-98d0-0a25-00b76550ffeb/mza_13445204151221888086.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/crime-junkie/id1322200189?uo=2,2025-04-21T00:00:00-07:00,"Does hearing about a true crime case always leave you scouring the internet for the truth behind the story? Dive into your next mystery with Crime Junkie. Every Monday, join your host Ashley Flowers as she unravels all the details of infamous and underreported true crime cases with her best friend Brit Prawat. From cold cases to missing persons and heroes in our community who seek justice, Crime Junkie is your destination for theories and stories you won’t hear anywhere else. 

Whether you're a seasoned true crime enthusiast or new to the genre, you'll find yourself on the edge of your seat awaiting a new episode every Monday.

If you can never get enough true crime... Congratulations, you’ve found your people. Follow to join a community of Crime Junkies! 

Crime Junkie is presented by audiochuck Media Company."
9,The Ezra Klein Show - New York Times Opinion,New York Times Opinion,Society & Culture,https://is1-ssl.mzstatic.com/image/thumb/Podcasts221/v4/52/a2/c9/52a2c9a6-7e2d-f734-e6a2-d3de5eaa9cac/mza_15146957260180681088.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/the-ezra-klein-show/id1548604447?uo=2,2025-04-25T02:00:00-07:00,"Ezra Klein invites you into a conversation on something that matters. How do we address climate change if the political system fails to act? Has the logic of markets infiltrated too many aspects of our lives? What is the future of the Republican Party? What do psychedelics teach us about consciousness? What does sci-fi understand about our present that we miss? Can our food system be just to humans and animals alike?

Unlock full access to New York Times podcasts and explore everything from politics to pop culture. Subscribe today at nytimes.com/podcasts or on Apple Podcasts and Spotify."
10,Up First from NPR - NPR,NPR,Daily News,https://is1-ssl.mzstatic.com/image/thumb/Podcasts211/v4/8b/76/9f/8b769f5e-eaa4-6063-b275-105a61486174/mza_12719536532096179796.jpg/170x170bb.png,https://podcasts.apple.com/us/podcast/up-first-from-npr/id1222114325?uo=2,2025-04-25T03:21:00-07:00,"NPR's Up First is the news you need to start your day. The three biggest stories of the day, with reporting and analysis from NPR News — in 10 minutes. Available weekdays at 6:30 a.m. ET, with hosts Leila Fadel, Steve Inskeep, Michel Martin and A Martinez. Also available on Saturdays at 9 a.m. ET, with Ayesha Rascoe and Scott Simon. On Sundays, hear a longer exploration behind the headlines with Ayesha Rascoe on ""The Sunday Story,"" available by 8 a.m. ET. Subscribe and listen, then support your local NPR station at donate.npr.org.Support NPR's reporting by subscribing to Up First+ and unlock sponsor-free listening. Learn more at plus.npr.org/upfirst"
